id,vendor,product_name,units,brand,max_price,min_price,avg_price,days_with_price_data
3683715,TandT,T&T Sugar Free Green Tea (500ml),500ml,,1.29,1.00,1.24857142857143,84
3992253,Walmart,"Tim Hortons Green Tea, 20 Tea Bags 40g(1.4oz)",20 Tea Bags 40g(1.4oz),Tim Hortons,4.87,3.97,4.65571428571429,84
4057659,Walmart,"Traditional Medicinals Green Tea Matcha, 16 Wrapped Tea Bags",16 Wrapped Tea Bags,Traditional Medicinals,5.47,4.87,5.31404761904762,84
3683023,TandT,Asahi Sou Green Tea (2L),2l,,6.59,3.99,6.18277108433735,83
15822,Galleria,HAITAI GREEN TEA MAROO BAR MULTI 70ML*8,PK,,7.99,7.99,7.99,81
3680037,TandT,Dong Ming Da Qiao Green Tea Pumpkin Seeds (284g),284g,,5.99,5.99,5.99,81
3683022,TandT,Asahi Sou Green Tea (620ml),620ml,,2.52,2.52,2.52,81
3683714,TandT,Suntory Kiyocha Suger Free Green Tea (500ml),500ml,,1.99,1.75,1.98088607594937,79
2889871,NoFrills,Pocky  Biscuit Sticks Green Tea Cream Coated,40g,Glico,1.79,1.79,1.79,78
3678999,TandT,Eiwa Hello Kitty Matcha Green Tea Flavor Marshmallow (70g),70g,,4.99,4.99,4.99,78
3683713,TandT,Suntory Kiyocha Green Tea (500ml),500ml,,1.99,1.75,1.98076923076923,78
3555223,TandT,Glico Pocky Green Tea Biscuit Stick 70g                 ,,,3.51,3.19,3.26253333333333,75
3679860,TandT,Lotte Green Tea Mini Yukimi Daifuku Mochi (270ml),270ml,,6.91,5.00,6.67613333333333,75
17280,Galleria,ITOEN GREEN TEA PEPPERMINT 30g,EA,,8.99,8.99,8.99,74
1996170,Metro,Decaffeinated Chai Green Tea,16un,Four O'Clock,6.49,5.99,6.33246575342466,73
88763,TandT,Binggrae Green Tea Ice Sandwich (150ml x 4),150ml x 4,,7.69,6.99,7.57333333333333,72
62984,NoFrills,Jasmine Green Tea,150g,Stassen,5.99,5.99,5.99,70
65679,NoFrills,Oi Ocha Green Tea Roasted Rice,40g,Ito En,7.99,7.99,7.99,70
105041,Walmart,"Yogi Green Tea Kombucha, Contains Caffeine Wellness Tea Bags, - 16 Count",- 16 Count,Yogi Tea,5.47,4.47,5.12714285714286,70
921156,Galleria,GWANGCHEONG NH ROASTED GREEN TEA LAVER 96G,PK,,14.99,14.99,14.99,70
62978,NoFrills,Japanese Green Tea (Sencha),200g,Ujinotsuyu,5.49,5.49,5.49,69
4070236,Walmart,"Tazo Zen Green Tea, Pack of 20",Pack of 20,TAZO,5.97,3.97,5.32294117647059,68
62179,NoFrills,Green Tea Sen-Cha Tea Bag ,40g,Ujinotsuyu,3.99,3.99,3.99,67
62173,NoFrills,Green Tea (Sencha),150g,,5.99,5.99,5.99,66
104815,Walmart,"Twinings Green Tea Pomegranate, Raspberry & Strawberry, Pack of 20 Tea Bags",Pack of 20 Tea Bags,Twinings,5.27,3.97,5.15181818181818,66
105389,Walmart,"Tetley Pure Green Tea K-Cup® Pods, 12 K-Cup pods",12 K-Cup pods,Tetley Tea,9.97,9.97,9.97,66
105147,Walmart,"Turkey Hill Diet Green Tea, Green tea",Green tea,Turkey Hill,4.97,4.97,4.97,64
4070616,Walmart,"Twinings Green Tea with Pomegrante, Raspberry & Strawberry Tea Bags, 20 Count Box, Pack of 20 Tea Bags",Pack of 20 Tea Bags,Twinings,5.27,3.97,5.0059375,64
1695180,Loblaws,Green Tea The Vert Naturellement Decafeine   ,80ea,Tetley,9.49,10.99,10.49,63
2885988,NoFrills,Green Tea Concentrate Green Tea Matcha Latte,946ml,Tazo,8.99,8.99,8.99,63
